                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2063,                 4.5912,                 1.5568,                0.50978,                0.09167,                0.10672,                0.04436,                 1.8168,                 4.0546,                 1.5053,              7.777e-05,              7.777e-05,              7.777e-05
                      2,                 1.9465,                 2.6038,                 1.3754,                0.61059,                 0.3886,                0.43357,                0.25845,                 1.6062,                 2.7277,                 1.3345,             0.00016005,             0.00016005,             0.00016005
                      3,                 1.8017,                 1.7429,                 1.2458,                0.49875,                0.58878,                0.53379,                0.27385,                 1.5576,                 4.4591,                 1.2805,             0.00023529,             0.00023529,             0.00023529
                      4,                 1.7036,                 1.4589,                 1.2001,                 0.5741,                0.58138,                0.60491,                 0.3269,                 1.5202,                  2.726,                 1.2498,             0.00030349,             0.00030349,             0.00030349
                      5,                 1.6461,                 1.3454,                  1.156,                0.65244,                0.71729,                 0.6741,                0.36748,                 1.4735,                 2.3566,                 1.2101,             0.00036466,             0.00036466,             0.00036466
                      6,                 1.6669,                 1.3045,                  1.167,                0.58652,                0.79599,                0.71823,                0.38204,                 1.4561,                  2.717,                 1.2184,             0.00041878,             0.00041878,             0.00041878
                      7,                 1.6201,                 1.1842,                 1.1601,                0.79096,                0.73613,                0.78302,                0.40939,                 1.4546,                 1.7794,                 1.2196,             0.00046586,             0.00046586,             0.00046586
                      8,                 1.5352,                 1.1329,                 1.1188,                0.73093,                0.70188,                0.78391,                 0.4283,                 1.4603,                 1.7945,                 1.2441,             0.00050591,             0.00050591,             0.00050591
                      9,                 1.5129,                 1.1486,                 1.1321,                0.74028,                0.81872,                0.83389,                0.44992,                 1.4634,                 1.6077,                 1.2181,             0.00053891,             0.00053891,             0.00053891
                     10,                 1.5629,                 1.1031,                 1.1213,                0.82388,                0.81758,                0.84133,                 0.4677,                 1.4396,                 1.4059,                 1.2144,             0.00056488,             0.00056488,             0.00056488
                     11,                 1.5526,                  1.071,                 1.1043,                0.68938,                0.75073,                0.75281,                 0.3762,                 1.5374,                 1.8078,                  1.281,             0.00058381,             0.00058381,             0.00058381
                     12,                 1.5071,                0.99715,                 1.0775,                0.70841,                0.76224,                0.78992,                0.42002,                 1.5124,                 1.7795,                 1.2955,              0.0005957,              0.0005957,              0.0005957
                     13,                  1.525,                0.98198,                 1.0865,                0.76515,                0.80124,                0.80789,                0.45963,                 1.4935,                 1.3019,                 1.3072,             0.00058305,             0.00058305,             0.00058305
                     14,                 1.4652,                0.97131,                 1.0917,                0.81384,                0.75836,                0.80043,                0.43711,                 1.4787,                 1.2152,                 1.2776,             0.00058305,             0.00058305,             0.00058305
                     15,                 1.4569,                 0.9404,                 1.0806,                0.66464,                0.80507,                0.79346,                0.43629,                 1.4612,                 1.2946,                 1.2401,             0.00053906,             0.00053906,             0.00053906
                     16,                 1.4263,                 1.0341,                 1.0561,                0.68017,                0.77442,                0.78794,                0.44705,                 1.4433,                 1.2722,                 1.2195,             0.00049506,             0.00049506,             0.00049506
                     17,                 1.3795,                0.94392,                 1.0532,                0.85691,                0.74126,                 0.8064,                0.45697,                 1.5179,                 1.1969,                 1.2351,             0.00045107,             0.00045107,             0.00045107
                     18,                 1.3118,                0.83567,                 1.0392,                0.80854,                0.75838,                0.81692,                 0.4655,                 1.4914,                 1.1471,                 1.2185,             0.00040707,             0.00040707,             0.00040707
                     19,                 1.3245,                0.86894,                 1.0298,                0.81716,                0.72747,                0.81438,                0.46288,                  1.504,                 1.1207,                 1.2289,             0.00036307,             0.00036307,             0.00036307
                     20,                  1.387,                0.85889,                 1.0282,                0.74921,                0.80023,                0.82656,                0.44624,                 1.4806,                 1.1281,                 1.2161,             0.00031908,             0.00031908,             0.00031908
                     21,                 1.3462,                0.79459,                  1.018,                0.84913,                0.74422,                 0.8217,                 0.4511,                 1.4648,                 1.1216,                 1.2059,             0.00027508,             0.00027508,             0.00027508
                     22,                 1.2901,                0.76378,                0.99896,                0.75347,                0.83193,                0.83461,                 0.4679,                 1.4625,                 1.1298,                 1.2024,             0.00023109,             0.00023109,             0.00023109
                     23,                  1.233,                 0.7442,                0.99323,                0.72707,                0.83326,                0.82956,                0.46596,                 1.4277,                 1.0816,                 1.1853,             0.00018709,             0.00018709,             0.00018709
                     24,                 1.2606,                0.72525,                0.99861,                0.72851,                0.80696,                0.82208,                0.47618,                 1.3933,                 1.0443,                 1.1627,              0.0001431,              0.0001431,              0.0001431
                     25,                 1.2574,                0.72935,                 1.0054,                0.72631,                 0.8411,                0.81683,                0.47067,                 1.3907,                 1.0425,                   1.16,             9.9101e-05,             9.9101e-05,             9.9101e-05
